ItemCode,ItemName,Quantity,Total,Total Sale Value,Total Transactions
8961008216249,NES FV RED GRAPES 1L,16,6400,,
8961014023251,WALLS CORNETO FLIRTY CONE,12,1200,,
8961008212883,NES FV ROYAL MANGO 1LTR-,11,3740,,
8961014004939,WALLS MAGNUM HAZELNUT 90ML,11,1210,,
8961008214160,NESTLE BUNYAD CHOCO 260GM-,6,2400,,
8961014003697,WALLS STRWBERRY 1L,12,4200,,
8961014018202,RAFHAN STRAW CUSTARD 275G,1,190,,
8961008017129,NESTLE CREAM TOPING 180ML,13,910,,
4800361292382,NESTLE KOKO KRUCH 500GM,6,7200,,
8961008214634,NESTLE MILK PAK S CREAM 180ML,9,1890,,
8961014051285,WALLS STICK BADAMI 55ML,10,350,,
8961008217437,NESTLE EVERYDAY 230GM-,9,4320,,
8961014018585,RAFHAN STRAW CUSTARD,4,400,,
8961014032178,WALLS FEAST CARAMEL-,9,900,,
8961008216973,NES FV RED ANAR 230ML-,7,1050,,
8961014008357,WALLS MANGO 1L,9,3600,,
8961008220352,NESTLE CERELACE 175GM-,8,3120,,
8961008215600,NESTLE MILO POWDER 300G-,12,10800,,
8961014246391,SUNSILIK NATRUALL,3,690,,
8961014051186,WALLS CHOCOLATE 1L,12,3480,,
8961014021424,WALLS CORNETTO BD CONE,6,960,,
8961014241815,LIFEBOY HERBAL 90ML,2,180,,
8961014244809,FAIR - LOVELY WINTER GLOW 70ML,1,280,,
8961014065510,WALLS TUTTI FRUITI 1L,5,1350,,
8961008216041,CERELAC NATURES 175GM,11,5720,,
8961008213866,NES NESFRUTA MANGO 1LTR-,4,1000,,
8961008213088,NESTLE EVER+TAPAL 600GM,6,3000,,
8961014017748,WALLS PADDLE POP-,3,90,,
8961008211497,NESTLE CERELAC ORANGE APPLE 175GM,3,720,,
8961008220208,NESTLE LACTOGEN 1 200G-,11,6600,,
8961008217321,NES FRUITA VITAL SPARKLING,3,390,,
8961014021523,WALLS STICK JK KULFI,5,200,,
8961008211190,NES FV CHAUNSA 1LTR-,7,2380,,
9556001249128,NESCAFE CLASSIC 50GM,4,3200,,
8961014004175,KNORR CHICKEN CORN SOUP,1,150,,
9556001249142,NESCAFE CLASSIC 100GM,2,2800,,
8961008221021,NESTLE LACTOGEN 2 400G-,4,4720,,
8961014032192,WALLS CORENETTO COOKIES-,6,720,,
8961014051605,WALLS CARAMEL CRUNCH CHOC TUB,9,5400,,
8961008213033,NESCAFE 3IN1 COFFEE 25GM,6,360,,
8961014032154,RAFHAN CUSTARD V 275G,4,760,,
8961008206752,NESCAFE CHILLED LATTE COFEE 200ML,10,1000,,
8961014003642,WALLS PISTA 1L,6,2400,,
8961008220215,NESTLE LACTOGEN 1 400G-,1,1180,,
8961008215846,NES EVERYDAY TEA W 180ML,13,650,,
8961014023701,WALLS PRALINE TUB,11,4070,,
8961014017700,WALLS KULFA PISTA TUB,5,1550,,
