ItemCode,ItemName,Quantity,Total,Total Sale Value,Total Transactions
8961008212616,NESTLE NIDO F-GROW 900GM,1,1750,,
8961014236835,FAIR LOVELY FW 80G-,3,900,,
8961008216034,NESTLE CERELACE NATURE 175GM,1,520,,
8961014004922,WALLS MAGNUM ALMOND-,2,560,,
8961014037135,KNORR KETCHUP 400GM-,2,520,,
8961014234480,LIFEBUOY TRIO PACK 146GM-,1,330,,
8961008213453,LACTOGEN1 HAPPY SMOOTH800G,2,2200,,
8961008219080,NESCAFE HAZELNUT 220ML-,2,340,,
8961014242454,TRESEME 160ML,3,1440,,
8961008210162,NESTLE LACTOGEN 1 800GM,1,1970,,
8961008221076,NESTLE FV PINE APPLE 230ML,3,450,,
8961014017748,WALLS PADDLE POP-,3,90,,
8690632000756,NESTLE KOKO KRUNCH 250G,1,570,,
8961014050530,WALLS MANGO CUP 100ML,1,60,,
8961014032635,WALLS KING KULFA 1L-,3,1350,,
8961008211633,NESTLE BUNYAD 260GM,6,2400,,
8961008214061,LACTOGROW 3 800G,1,1100,,
8961014008494,RAFHAN ICE CREAM CUSTARD 285GM,3,570,,
8961008213866,NES NESFRUTA MANGO 1LTR-,1,250,,
8961014236873,FAIR LOVELY HANDSOME 50G-,1,280,,
8961008222363,NESCAFE CLASSIC 25G,3,960,,
8961014017700,WALLS KULFA PISTA TUB,2,620,,
8961014023701,WALLS PRALINE TUB,2,740,,
8961008210827,NESTLE FORTIGROW 390GM,1,500,,
8961008213927,NES FV ORANGE 1LTR-,2,800,,
8961014236842,FAIR LOVELY LOTION 100ML-,2,440,,
8961008219974,NESTLE LACTOGROW3 200GM,1,600,,
8961008218809,NESCAFE CHILLED SALTED CARAMEL 200ML,5,850,,
8961014051285,WALLS STICK BADAMI 55ML,1,35,,
8961008220215,NESTLE LACTOGEN 1 400G-,1,1180,,
8961014065565,WALLS VANILLA 1L,3,1020,,
8961014023718,WALLS DOUBLE CHOC TUB,1,420,,
8961008218328,NESTLE MILK PAK CREAM 200ML-,2,440,,
9556001249128,NESCAFE CLASSIC 50GM,1,800,,
8961014032192,WALLS CORENETTO COOKIES-,1,120,,
8961008213415,NESTLE MILK PAK 250ML.,2,150,,
8961014032178,WALLS FEAST CARAMEL-,2,200,,
8961008217673,NESCAFE LATTE 220ML-,3,510,,
8961014003697,WALLS STRWBERRY 1L,3,1050,,
8961008203027,NESTLE PLAIN YOGURT 400G,1,240,,
8961014004939,WALLS MAGNUM HAZELNUT 90ML,1,110,,
8961014007657,PONDS LOTION 200ML-,1,450,,
8961014008708,WALLS MAGNUM CHOLT STRW,2,220,,
8961008215600,NESTLE MILO POWDER 300G-,1,900,,
8961008213491,NESTLE LACTOGEN RECOVER 200G,1,800,,
8961014241129,FAIR LOVELY HERBAL,3,360,,
8961014032703,WALLS CARAMEL VANILLA 1LTR-,1,450,,
,,,,32615,28
